#{"t_start": 1702839456.6788507, "env_id": "None"}
r,l,t
-1.568029,785,3832.862067
-1.079235,1001,3869.238045
2.211961,547,3889.333432
1.107358,353,3902.48783
0.864309,272,3912.822858
0.34982,1001,3949.637583
4.059246,1001,3985.751714
3.758228,1001,4022.037744
1.424121,307,4034.166735
2.76037,579,4055.387471
1.235224,217,4063.828593
1.259943,198,4071.51715
5.880521,1001,4107.607294
0.338053,67,4110.663528
-0.017547,23,4112.157665
-0.030991,20,4113.545862
-0.020723,19,4114.894083
0.003922,23,4116.390218
-0.037175,20,4117.794407
-0.045025,19,4119.152622
0.426837,93,4123.177296
0.383967,73,4126.456401
0.414165,73,4129.72851
0.378414,87,4133.481341
0.978905,196,4141.087946
2.531441,1001,4177.215069
2.654011,599,4199.277318
0.741264,1001,4235.647301
1.923386,1001,4271.941327
1.24797,940,4305.929685
0.821271,1001,4342.430592
0.126527,92,4346.401297
2.315466,928,4380.010875
2.489315,768,4407.903755
1.037996,764,4435.70469
1.753981,782,4464.114272
-0.038093,17,4465.391534
-0.044275,18,4466.734758
1.788308,709,4492.593814
0.531503,121,4497.557945
3.605329,1001,4534.432636
1.651045,413,4550.976075
0.709674,443,4567.523513
1.15189,350,4580.612949
0.430815,73,4583.904047
1.508232,174,4590.783072
0.835629,244,4600.149659
0.880865,429,4616.100441
1.642921,312,4627.835659
0.730097,105,4632.274094
1.236365,119,4637.174263
0.872196,141,4642.864974
0.789163,132,4648.307829
0.60793,158,4654.601192
0.887978,181,4661.80303
0.467834,117,4666.64823
0.827017,112,4671.304539
1.244969,1001,4707.569582
4.286025,1001,4743.831626
1.300626,305,4755.359964
1.024164,205,4763.338354
4.448423,1001,4799.653368
-0.066425,37,4801.65621
-0.030647,42,4803.841947
-0.052533,35,4805.77583
0.171455,66,4808.806079
0.440826,100,4813.075611
0.404616,109,4817.638974
4.617048,1001,4853.968979
0.033357,86,4857.712816
-0.002761,62,4860.600147
-0.029525,72,4863.849269
0.570039,165,4870.400484
0.381524,88,4874.239265
0.533392,254,4884.005621
0.040635,50,4886.474195
2.530722,481,4904.327877
2.43767,703,4930.018031
2.117291,336,4942.96355
1.388306,177,4949.973499
0.718007,119,4954.902651
0.615059,91,4958.844373
0.622318,186,4966.218112
0.073777,35,4968.151994
0.06388,47,4970.51163
0.087968,61,4973.375975
0.096934,40,4975.485756
0.531249,108,4980.018137
0.831129,226,4988.759085
0.027158,39,4990.836885
-0.019112,36,4992.837729
0.067103,43,4995.075435
-0.0299,36,4997.051293
0.077177,41,4999.192056
-0.014222,40,5001.329821
-0.067448,57,5004.059244
0.007067,175,5011.003231
0.070631,72,5014.252353
0.210599,82,5017.866265
4.047262,1001,5054.24724
0.646598,88,5058.069031
1.825323,248,5067.592528
0.33583,54,5070.20202
1.196252,211,5078.406279
0.776219,118,5083.326436
0.319431,118,5088.214611
0.170702,76,5091.60865
0.530046,90,5095.507396
0.773367,107,5100.010794
0.873776,120,5104.98492
0.789157,118,5109.870096
0.94269,111,5114.520409
0.993108,124,5119.651444
0.815247,68,5122.75565
